service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily-1,1,1,1,1,1,1,1,20260108,20260331
Daily-2,1,1,1,1,1,1,1,20260118,20260331
Daily-3,1,1,1,1,1,1,1,20260108,20260117
Daily-4,1,1,1,1,1,1,1,20260108,20260331
ExSat-1,1,1,1,1,1,0,1,20260108,20260331
ExSat-2,1,1,1,1,1,0,1,20260108,20260117
ExSat-3,1,1,1,1,1,0,1,20260118,20260331
ExSun-1,1,1,1,1,1,1,0,20260108,20260331
ExSun-2,1,1,1,1,1,1,0,20260108,20260117
ExSun-3,1,1,1,1,1,1,0,20260118,20260331
ExSun-4,1,1,1,1,1,1,0,20260108,20260331
ExTue-1,1,0,1,1,1,1,1,20260108,20260331
FriSat-1,0,0,0,0,1,1,0,20260118,20260331
FriSat-2,0,0,0,0,1,1,0,20260108,20260117
FriSat-3,0,0,0,0,1,1,0,20260108,20260331
FriSat-4,0,0,0,0,1,1,0,20260108,20260331
Friday-1,0,0,0,0,1,0,0,20260108,20260117
Friday-2,0,0,0,0,1,0,0,20260108,20260331
Friday-3,0,0,0,0,1,0,0,20260108,20260331
Friday-4,0,0,0,0,1,0,0,20260108,20260331
Friday-5,0,0,0,0,1,0,0,20260108,20260331
Friday-6,0,0,0,0,1,0,0,20260108,20260331
Monday-1,1,0,0,0,0,0,0,20260108,20260116
Other-1,0,0,0,0,0,0,0,20260108,20260331
Other-10,0,0,0,0,0,0,0,20260108,20260331
Other-11,0,0,0,0,0,0,0,20260108,20260331
Other-12,0,0,0,0,0,0,0,20260108,20260331
Other-13,0,0,0,0,0,0,0,20260108,20260331
Other-14,0,0,0,0,0,0,0,20260108,20260331
Other-15,0,0,0,0,0,0,0,20260108,20260331
Other-16,0,0,0,0,0,0,0,20260118,20260331
Other-17,0,0,0,0,0,0,0,20260118,20260331
Other-18,0,0,0,0,0,0,0,20260118,20260331
Other-19,0,0,0,0,0,0,0,20260108,20260331
Other-2,0,0,0,0,0,0,0,20260108,20260331
Other-20,0,0,0,0,0,0,0,20260108,20260331
Other-21,0,0,0,0,0,0,0,20260108,20260331
Other-22,0,0,0,0,0,0,0,20260108,20260331
Other-23,0,0,0,0,0,0,0,20260108,20260331
Other-24,0,0,0,0,0,0,0,20260108,20260331
Other-25,0,0,0,0,0,0,0,20260118,20260331
Other-26,0,0,0,0,0,0,0,20260108,20260331
Other-27,0,0,0,0,0,0,0,20260108,20260331
Other-28,0,0,0,0,0,0,0,20260118,20260331
Other-29,0,0,0,0,0,0,0,20260118,20260331
Other-3,0,0,0,0,0,0,0,20260108,20260331
Other-30,0,0,0,0,0,0,0,20260118,20260331
Other-31,0,0,0,0,0,0,0,20260108,20260331
Other-32,0,0,0,0,0,0,0,20260108,20260331
Other-33,0,0,0,0,0,0,0,20260108,20260331
Other-34,0,0,0,0,0,0,0,20260108,20260331
Other-35,0,0,0,0,0,0,0,20260118,20260331
Other-36,0,0,0,0,0,0,0,20260108,20260331
Other-37,0,0,0,0,0,0,0,20260108,20260331
Other-38,0,0,0,0,0,0,0,20260108,20260331
Other-39,0,0,0,0,0,0,0,20260108,20260331
Other-4,0,0,0,0,0,0,0,20260118,20260331
Other-40,0,0,0,0,0,0,0,20260129,20260331
Other-41,0,0,0,0,0,0,0,20260118,20260331
Other-42,0,0,0,0,0,0,0,20260129,20260331
Other-5,0,0,0,0,0,0,0,20260118,20260331
Other-6,0,0,0,0,0,0,0,20260108,20260331
Other-7,0,0,0,0,0,0,0,20260108,20260331
Other-8,0,0,0,0,0,0,0,20260118,20260331
Other-9,0,0,0,0,0,0,0,20260108,20260331
Saturday-1,0,0,0,0,0,1,0,20260108,20260331
Saturday-2,0,0,0,0,0,1,0,20260108,20260117
Saturday-3,0,0,0,0,0,1,0,20260108,20260331
Saturday-4,0,0,0,0,0,1,0,20260118,20260331
Saturday-5,0,0,0,0,0,1,0,20260108,20260331
Sunday-1,0,0,0,0,0,0,1,20260108,20260331
Sunday-2,0,0,0,0,0,0,1,20260108,20260117
Sunday-3,0,0,0,0,0,0,1,20260118,20260331
Sunday-4,0,0,0,0,0,0,1,20260108,20260331
Sunday-5,0,0,0,0,0,0,1,20260108,20260331
Sunday-6,0,0,0,0,0,0,1,20260108,20260331
Thursday-1,0,0,0,1,0,0,0,20260108,20260331
Thursday-2,0,0,0,1,0,0,0,20260118,20260128
